subNumber,Gender,driverTraining,eventNumber,TTC,Age,drivingExperience,reactionTime,crash,minTTC,AVR,attenD,euclideanGazeDispersion,gazeEntropy,yawGazeDispersion,pitchGazeDispersion,totalGlanceTimeDriverMirror,totalGlanceTimeInstrumentCluster,totalGlanceTimeOffRoad,totalGlanceTimeOnRoad,totalGlanceTimePassengerMirror,totalGlanceTimeRearMirror,totalGlanceTimeOther
29,1,0,2,5,25,6,2.62,0,1.85,2.84,3,0.05,2.59,0.19,0.17,0,0.218892,3.001379,3.28128,0,0,0
29,1,0,3,0,25,6,1.62,0,1.29,2.84,3,0.06,1.63,0.22,0.18,0,0,3.47783,3.021599,0,0,0
30,1,1,0,0,33,9,1.58,0,1.53,3.07,0,0.02,1.71,0.12,0.1,0,0,0,6.497146,0,0,0
30,1,1,1,0,33,9,1.67,0,0.81,3.07,2.37,0.11,2.12,0.23,0.29,0,1.086959,4.568018,0.845101,0,0,0
30,1,1,2,5,33,9,1.33,0,1.18,3.07,3,0.06,1.78,0.22,0.21,0.694759,0,2.956227,2.849387,0,0,0
30,1,1,3,0,33,9,1.32,0,0.13,3.07,0,0.09,2.53,0.16,0.28,0,0,3.67052,2.830647,0,0,0
31,0,1,0,0,44,25,1.88,1,0.07,1.01,3,0.08,2.15,0.25,0.21,0.628484,0,3.00023,2.113172,0.758738,0,0
31,0,1,1,0,44,25,2.1,1,0.09,1.01,0,0.05,2.12,0.24,0.19,0,0,2.999119,3.500108,0,0,0
31,0,1,2,5,44,25,2.28,0,2.37,1.01,0,0.04,1.73,0.21,0.13,0,0,2.999836,3.498528,0,0,0
31,0,1,3,0,44,25,1.47,0,1.65,1.01,0,0.06,2.42,0.18,0.14,0,0,0,5.934287,0,0.566372,0
32,1,1,0,0,25,8,1.82,1,0.18,4.66,0,0.02,2.31,0.09,0.15,0,0,3.001907,3.496864,0,0,0
32,1,1,1,0,25,8,2.02,0,0.93,4.66,0,0.13,2.38,0.21,0.27,0.519367,0.804893,1.348317,3.82822,0,0,0
32,1,1,2,5,25,8,2.6,0,1.57,4.66,0,0.06,2.37,0.19,0.28,0,0,4.045638,2.454904,0,0,0
32,1,1,3,0,25,8,1.62,0,0.55,4.66,2.26,0.06,2.15,0.17,0.19,0,1.846824,3.043648,1.608153,0,0,0
33,0,1,0,0,39,18,0.38,1,0.47,1.33,0,0.07,2.4,0.22,0.15,0.567236,0.106263,0,5.368379,0,0,0
33,0,1,1,0,39,18,1.2,0,1.12,1.33,2.35,0.01,2.53,0.1,0.06,0,0,2.955344,3.544664,0,0,0
33,0,1,2,5,39,18,1.13,0,1.29,1.33,0,0.14,1.46,0.36,0.22,0.695735,0,5.174656,0.628127,0,0,0
33,0,1,3,0,39,18,1.1,0,0.24,1.33,0,0.03,1.49,0.2,0.17,0,0.542494,3.76327,2.194166,0,0,0
